type	time	latitude	longitude	altitude (m)	name	desc
T	2023-09-16 19:39:20	38.989159800	-76.872047300	0.0		
T	2023-09-16 19:39:21	38.989139500	-76.872015200	0.0		
T	2023-09-16 19:39:22.001	38.989137200	-76.871959500	0.0		
T	2023-09-16 19:39:23.002	38.989144700	-76.871904600	0.0		
T	2023-09-16 19:39:24.001	38.989144700	-76.871904600	0.0		
T	2023-09-16 19:39:25.001	38.989159200	-76.871816100	0.0		
T	2023-09-16 19:39:26.001	38.989167900	-76.871773400	0.0		
T	2023-09-16 19:39:27.002	38.989175100	-76.871736400	0.0		
T	2023-09-16 19:39:28	38.989182900	-76.871703200	0.0		
T	2023-09-16 19:39:29.001	38.989196000	-76.871675100	0.0		
T	2023-09-16 19:39:30.001	38.989212300	-76.871643400	0.0		
T	2023-09-16 19:39:31	38.989228000	-76.871628100	0.0		
T	2023-09-16 19:39:32	38.989250200	-76.871618300	0.0		
T	2023-09-16 19:39:33.002	38.989274300	-76.871615000	0.0		
T	2023-09-16 19:39:34.001	38.989296400	-76.871617300	0.0		
T	2023-09-16 19:39:35.002	38.989310700	-76.871619500	0.0		
T	2023-09-16 19:39:36.001	38.989310700	-76.871619500	0.0		
T	2023-09-16 19:39:37.001	38.989310700	-76.871619500	0.0		
T	2023-09-16 19:39:38.001	38.989314500	-76.871631100	0.0		
T	2023-09-16 19:39:39.001	38.989314500	-76.871631100	0.0		
T	2023-09-16 19:39:40.001	38.989314500	-76.871631100	0.0		
T	2023-09-16 19:39:41.001	38.989314500	-76.871631100	0.0		
T	2023-09-16 19:39:42.001	38.989314500	-76.871631100	0.0		
T	2023-09-16 19:39:43.003	38.989314500	-76.871631100	0.0		
T	2023-09-16 19:39:44.001	38.989314500	-76.871631100	0.0		
T	2023-09-16 19:39:45.001	38.989314500	-76.871631100	0.0		
T	2023-09-16 19:39:46.001	38.989328000	-76.871640500	0.0		
T	2023-09-16 19:39:47.001	38.989341100	-76.871636100	0.0		
T	2023-09-16 19:39:48.001	38.989359800	-76.871639100	0.0		
T	2023-09-16 19:39:49.001	38.989382900	-76.871645700	0.0		
T	2023-09-16 19:39:50.001	38.989412000	-76.871648100	0.0		
T	2023-09-16 19:39:51.001	38.989442500	-76.871647700	0.0		
T	2023-09-16 19:39:52.001	38.989467700	-76.871649300	0.0		
T	2023-09-16 19:39:53.001	38.989492500	-76.871653100	0.0		
T	2023-09-16 19:39:54.001	38.989517500	-76.871659200	0.0		
T	2023-09-16 19:39:55	38.989547500	-76.871666300	0.0		
T	2023-09-16 19:39:56.001	38.989575700	-76.871665100	0.0		
T	2023-09-16 19:39:57.001	38.989601500	-76.871655800	0.0		
T	2023-09-16 19:39:58.001	38.989627000	-76.871635300	0.0		
T	2023-09-16 19:39:59	38.989648400	-76.871606300	0.0		
T	2023-09-16 19:40:00.001	38.989667700	-76.871576300	0.0		
T	2023-09-16 19:40:01.001	38.989689500	-76.871542700	0.0		
T	2023-09-16 19:40:02.001	38.989705800	-76.871508100	0.0		
T	2023-09-16 19:40:03.001	38.989725100	-76.871474700	0.0		
T	2023-09-16 19:40:04.001	38.989725100	-76.871474700	0.0		
T	2023-09-16 19:40:05.001	38.989769900	-76.871412700	0.0		
T	2023-09-16 19:40:06.001	38.989789900	-76.871383100	0.0		
T	2023-09-16 19:40:07.001	38.989809200	-76.871352000	0.0		
T	2023-09-16 19:40:08.001	38.989826600	-76.871322800	0.0		
T	2023-09-16 19:40:09.001	38.989843700	-76.871287100	0.0		
T	2023-09-16 19:40:10.001	38.989854100	-76.871252200	0.0		
T	2023-09-16 19:40:11.001	38.989862800	-76.871210700	0.0		
T	2023-09-16 19:40:12.002	38.989867800	-76.871169900	0.0		
T	2023-09-16 19:40:13.001	38.989874400	-76.871123500	0.0		
T	2023-09-16 19:40:14.001	38.989874400	-76.871123500	0.0		
T	2023-09-16 19:40:15.001	38.989877300	-76.871042100	0.0		
T	2023-09-16 19:40:16.001	38.989873200	-76.870999700	0.0		
T	2023-09-16 19:40:17	38.989872300	-76.870955100	0.0		
T	2023-09-16 19:40:18.001	38.989870900	-76.870906600	0.0		
T	2023-09-16 19:40:19.001	38.989868500	-76.870864900	0.0		
T	2023-09-16 19:40:20.001	38.989868500	-76.870864900	0.0		
T	2023-09-16 19:40:21	38.989864300	-76.870790700	0.0		
T	2023-09-16 19:40:22	38.989864300	-76.870790700	0.0		
T	2023-09-16 19:40:23.001	38.989860400	-76.870719900	0.0		
T	2023-09-16 19:40:24	38.989860400	-76.870719900	0.0		
T	2023-09-16 19:40:25.001	38.989873400	-76.870664700	0.0		
T	2023-09-16 19:40:26.001	38.989884800	-76.870635200	0.0		
T	2023-09-16 19:40:27	38.989884800	-76.870635200	0.0		
T	2023-09-16 19:40:28.002	38.989913900	-76.870583500	0.0		
T	2023-09-16 19:40:29	38.989943500	-76.870547600	0.0		
T	2023-09-16 19:40:30.001	38.989968300	-76.870533400	0.0		
T	2023-09-16 19:40:31.001	38.989993900	-76.870524300	0.0		
T	2023-09-16 19:40:32.001	38.990019600	-76.870522900	0.0		
T	2023-09-16 19:40:33.001	38.990041900	-76.870523000	0.0		
T	2023-09-16 19:40:34	38.990060400	-76.870514300	0.0		
T	2023-09-16 19:40:35	38.990085300	-76.870506500	0.0		
T	2023-09-16 19:40:36.001	38.990111800	-76.870501200	0.0		
T	2023-09-16 19:40:37.001	38.990111800	-76.870501200	0.0		
T	2023-09-16 19:40:38.001	38.990181800	-76.870499300	0.0		
T	2023-09-16 19:40:39.001	38.990216200	-76.870513900	0.0		
T	2023-09-16 19:40:40.001	38.990216200	-76.870513900	0.0		
T	2023-09-16 19:40:41.001	38.990252600	-76.870551600	0.0		
T	2023-09-16 19:40:42	38.990269500	-76.870590700	0.0		
T	2023-09-16 19:40:43.001	38.990292500	-76.870643300	0.0		
T	2023-09-16 19:40:44.001	38.990298500	-76.870682200	0.0		
T	2023-09-16 19:40:45	38.990304300	-76.870722200	0.0		
T	2023-09-16 19:40:46.001	38.990310500	-76.870757200	0.0		
T	2023-09-16 19:40:47.001	38.990313200	-76.870790800	0.0		
T	2023-09-16 19:40:48.001	38.990318100	-76.870838300	0.0		
T	2023-09-16 19:40:49.001	38.990318100	-76.870838300	0.0		
T	2023-09-16 19:40:50	38.990327900	-76.870899100	0.0		
T	2023-09-16 19:40:51.001	38.990333100	-76.870936700	0.0		
T	2023-09-16 19:40:52.001	38.990337600	-76.870970300	0.0		
T	2023-09-16 19:40:53.001	38.990344500	-76.871003700	0.0		
T	2023-09-16 19:40:54.001	38.990354500	-76.871037400	0.0		
T	2023-09-16 19:40:55.001	38.990368700	-76.871076000	0.0		
T	2023-09-16 19:40:56.001	38.990368700	-76.871076000	0.0		
T	2023-09-16 19:40:57.001	38.990412400	-76.871130100	0.0		
T	2023-09-16 19:40:58.001	38.990412400	-76.871130100	0.0		
T	2023-09-16 19:40:59.001	38.990450200	-76.871150200	0.0		
T	2023-09-16 19:41:00	38.990489000	-76.871163500	0.0		
T	2023-09-16 19:41:01.001	38.990513800	-76.871162100	0.0		
T	2023-09-16 19:41:02.001	38.990513800	-76.871162100	0.0		
T	2023-09-16 19:41:03	38.990554300	-76.871144700	0.0		
